Operador;Tipo Pausa;Fecha inicio;Fecha_fin
MCEJKO;descanso;2022-12-22 17:02:24;2022-12-22 17:16:22
LCANO;administrativo;2022-12-22 17:04:15;2022-12-22 17:06:37
lsaine;descanso;2022-12-22 17:05:05;2022-12-22 17:19:52
LCANO;administrativo;2022-12-22 17:06:42;2022-12-22 17:06:47
LCANO;administrativo;2022-12-22 17:14:01;
mardissone;descanso;2022-12-22 17:18:17;2022-12-22 17:30:15
lcastresana;administrativo;2022-12-22 17:19:09;2022-12-22 17:21:04
LCARRA;administrativo;2022-12-22 17:21:34;2022-12-22 17:38:22
LCANO;administrativo;2022-12-22 17:21:57;2022-12-22 17:29:05
fgarnica;administrativo;2022-12-22 17:22:29;2022-12-22 17:30:33
ZDOMIC;descanso;2022-12-22 17:22:53;2022-12-22 17:37:15
BETCHEVERRY;administrativo;2022-12-22 17:34:04;2022-12-22 17:36:40
gfaguaga;descanso;2022-12-22 17:35:22;2022-12-22 17:49:49
NSOLIS;descanso;2022-12-22 17:35:42;2022-12-22 17:51:06
CMORALES;descanso;2022-12-22 17:36:03;2022-12-22 17:50:26
BETCHEVERRY;administrativo;2022-12-22 17:39:27;2022-12-22 17:44:30
fgarnica;administrativo;2022-12-22 17:40:02;2022-12-22 17:42:28
efigueroa;descanso;2022-12-22 17:40:28;2022-12-22 17:56:55
AECKERDT;descanso;2022-12-22 17:40:58;2022-12-22 17:41:03
AECKERDT;descanso;2022-12-22 17:41:12;2022-12-22 17:58:59
jquinonez;descanso;2022-12-22 17:43:31;2022-12-22 17:59:02
fgarnica;administrativo;2022-12-22 17:45:48;2022-12-22 17:46:26
clopez;administrativo;2022-12-22 17:46:28;2022-12-22 18:04:43
smilagro;baño;2022-12-22 17:46:39;2022-12-22 17:46:42
smilagro;descanso;2022-12-22 17:46:44;2022-12-22 18:07:28
LCANO;administrativo;2022-12-22 17:46:49;2022-12-22 17:48:19
SWASZCZUK;descanso;2022-12-22 17:48:11;2022-12-22 18:03:33
PMICAELA;descanso;2022-12-22 17:48:17;2022-12-22 18:03:12
fgarnica;administrativo;2022-12-22 17:48:20;2022-12-22 17:52:06
fgonzalez;descanso;2022-12-22 17:49:55;2022-12-22 18:05:55
bcami;descanso;2022-12-22 17:50:59;2022-12-22 18:05:08
AMESSINA;descanso;2022-12-22 17:51:27;2022-12-22 18:06:44
LCANO;administrativo;2022-12-22 17:55:46;2022-12-22 17:57:31
fgarnica;administrativo;2022-12-22 17:55:49;2022-12-22 18:00:35
BRAVOL;descanso;2022-12-22 18:00:54;2022-12-22 18:17:24
LCARRA;administrativo;2022-12-22 18:01:04;2022-12-22 18:07:30
FSALAS;descanso;2022-12-22 18:02:04;2022-12-22 18:17:05
calmiron;descanso;2022-12-22 18:02:09;2022-12-22 18:17:58
fgarnica;descanso;2022-12-22 18:02:41;2022-12-22 18:19:08
FMENDEZ;descanso;2022-12-22 18:03:38;2022-12-22 18:16:18
apicon;descanso;2022-12-22 18:04:04;2022-12-22 18:18:43
mgallardo;descanso;2022-12-22 18:04:43;2022-12-22 18:19:06
alvarezn;descanso;2022-12-22 18:04:55;2022-12-22 18:18:19
LCANO;administrativo;2022-12-22 18:10:13;2022-12-22 18:12:42
LCANO;administrativo;2022-12-22 18:12:46;2022-12-22 18:19:50
BETCHEVERRY;administrativo;2022-12-22 18:13:28;2022-12-22 18:17:45
SWASZCZUK;baño;2022-12-22 18:17:33;2022-12-23 08:20:05
fgarnica;administrativo;2022-12-22 18:19:13;2022-12-22 18:45:34
LCANO;administrativo;2022-12-22 18:19:55;2022-12-22 18:20:05
LCANO;descanso;2022-12-22 18:20:08;2022-12-22 18:37:52
zmendoza;descanso;2022-12-22 18:20:09;2022-12-22 18:37:27
svega;descanso;2022-12-22 18:21:35;2022-12-22 18:34:37
NSOLIS;administrativo;2022-12-22 18:22:32;2022-12-22 18:28:32
BETCHEVERRY;baño;2022-12-22 18:24:31;2022-12-22 18:26:04
ygarguillo;descanso;2022-12-22 18:28:25;2022-12-22 18:42:50
BETCHEVERRY;administrativo;2022-12-22 18:29:00;2022-12-22 18:31:35
VHERMS;descanso;2022-12-22 18:30:08;2022-12-22 18:45:25
BETCHEVERRY;descanso;2022-12-22 18:31:39;2022-12-22 18:32:03
LCARRA;administrativo;2022-12-22 18:31:58;2022-12-22 18:33:31
BETCHEVERRY;descanso;2022-12-22 18:32:06;2022-12-22 18:47:52
jaquino;descanso;2022-12-22 18:32:21;2022-12-22 18:33:17
jaquino;descanso;2022-12-22 18:33:20;2022-12-22 18:47:56
LCARRA;descanso;2022-12-22 18:33:35;2022-12-22 18:48:22
smilagro;administrativo;2022-12-22 18:36:03;2022-12-22 18:44:37
NRODRIGUEZ;descanso;2022-12-22 18:40:42;2022-12-22 18:55:58
bsubelza;descanso;2022-12-22 18:45:21;2022-12-22 19:00:50
nandrich;descanso;2022-12-22 18:46:11;2022-12-22 19:00:43
fgarnica;administrativo;2022-12-22 18:52:30;2022-12-22 19:06:10
NSOLIS;administrativo;2022-12-22 18:54:08;2022-12-22 19:00:05
ALANIERI;baño;2022-12-22 18:56:57;2022-12-22 19:01:23
rtassone;descanso;2022-12-22 18:59:47;2022-12-22 19:13:36
mnunez;descanso;2022-12-22 19:01:42;2022-12-22 19:15:21
anunez;descanso;2022-12-22 19:01:44;2022-12-22 19:15:24
jaquino;baño;2022-12-22 19:04:11;2022-12-22 19:07:21
yacampos;descanso;2022-12-22 19:04:56;2022-12-22 19:20:09
abidondo;descanso;2022-12-22 19:05:09;2022-12-22 19:20:08
gfaguaga;baño;2022-12-22 19:06:32;2022-12-22 19:11:47
LCANO;administrativo;2022-12-22 19:09:14;2022-12-22 19:10:58
ADANIELA;administrativo;2022-12-22 19:09:30;2022-12-22 19:10:11
smilagro;administrativo;2022-12-22 19:15:27;2022-12-22 19:18:37
LCANO;administrativo;2022-12-22 19:16:23;2022-12-22 19:24:29
gbejarano;baño;2022-12-22 19:16:33;2022-12-22 19:19:32
jquinonez;baño;2022-12-22 19:21:18;2022-12-22 19:25:32
LCANO;baño;2022-12-22 19:26:54;2022-12-22 19:30:23
aaquino;descanso;2022-12-22 19:27:33;2022-12-22 19:42:14
CFILGUEIRA;baño;2022-12-22 19:30:07;2022-12-22 19:32:58
aduarte;baño;2022-12-22 19:33:10;2022-12-22 19:35:19
pvalenzuela;descanso;2022-12-22 19:33:58;2022-12-22 19:49:05
pbufano;descanso;2022-12-22 19:35:05;2022-12-22 20:03:32
LCANO;administrativo;2022-12-22 19:36:56;2022-12-22 19:37:37
BETCHEVERRY;baño;2022-12-22 19:37:18;2022-12-22 19:39:37
LCANO;administrativo;2022-12-22 19:37:41;2022-12-22 19:38:07
fgarnica;administrativo;2022-12-22 19:40:16;2022-12-22 19:42:18
BETCHEVERRY;administrativo;2022-12-22 19:43:31;2022-12-22 19:44:59
CMORALES;administrativo;2022-12-22 19:50:04;2022-12-22 19:50:09
CMORALES;baño;2022-12-22 19:50:16;2022-12-22 19:53:39
gbejarano;baño;2022-12-22 19:53:48;2022-12-22 19:59:05
fgarnica;administrativo;2022-12-22 19:56:22;2022-12-22 19:56:28
fgarnica;administrativo;2022-12-22 20:02:51;2022-12-22 20:03:06
AECKERDT;administrativo;2022-12-22 20:20:29;2022-12-22 20:22:34
LCANO;administrativo;2022-12-22 20:27:23;2022-12-22 20:27:30
gbejarano;baño;2022-12-22 20:28:31;2022-12-22 20:28:35
lcastresana;administrativo;2022-12-22 20:30:54;2022-12-22 20:31:20

