Operador;Tipo Pausa;Fecha inicio;Fecha_fin
CFERREYRA;administrativo;2022-12-22 10:13:45;2022-12-22 10:17:09
CCACERES;administrativo;2022-12-22 10:13:46;2022-12-22 10:14:50
VAZQUEZE;administrativo;2022-12-22 10:13:51;2022-12-22 10:15:27
MERASO;administrativo;2022-12-22 10:13:56;2022-12-22 10:17:44
ALEDESMA;administrativo;2022-12-22 10:16:48;2022-12-22 10:19:36
ndelaoliva;administrativo;2022-12-22 10:17:55;2022-12-22 10:19:14
CFERREYRA;administrativo;2022-12-22 10:18:40;2022-12-22 10:19:01
CFERREYRA;administrativo;2022-12-22 10:19:16;2022-12-22 10:19:37
EBARRERA;administrativo;2022-12-22 10:19:54;2022-12-22 10:36:56
CCACERES;administrativo;2022-12-22 10:20:01;2022-12-22 10:21:40
CFERREYRA;administrativo;2022-12-22 10:23:45;2022-12-22 10:24:27
CFERREYRA;administrativo;2022-12-22 10:24:41;2022-12-22 10:26:43
ldaiana;baño;2022-12-22 10:24:50;2022-12-22 10:31:00
CCACERES;administrativo;2022-12-22 10:26:30;2022-12-22 10:28:59
ndelaoliva;administrativo;2022-12-22 10:27:22;2022-12-22 10:32:42
NCORONEL;administrativo;2022-12-22 10:29:11;2022-12-22 10:37:08
LRIOS;administrativo;2022-12-22 10:30:32;2022-12-22 10:34:38
CFERREYRA;administrativo;2022-12-22 10:30:36;2022-12-22 10:30:51
MERASO;administrativo;2022-12-22 10:30:40;2022-12-22 10:31:53
CFERREYRA;administrativo;2022-12-22 10:32:06;2022-12-22 10:32:15
CCACERES;administrativo;2022-12-22 10:33:57;2022-12-22 10:34:16
CFERREYRA;administrativo;2022-12-22 10:33:58;2022-12-22 10:34:10
CFERREYRA;administrativo;2022-12-22 10:35:10;2022-12-22 10:38:06
CCACERES;administrativo;2022-12-22 10:37:16;2022-12-22 10:40:26
CSUAREZ;administrativo;2022-12-22 10:37:28;2022-12-22 10:43:05
LRIOS;administrativo;2022-12-22 10:37:39;2022-12-22 10:45:45
MERASO;administrativo;2022-12-22 10:38:39;2022-12-22 10:43:55
CFERREYRA;administrativo;2022-12-22 10:38:54;2022-12-22 10:47:11
VAZQUEZE;administrativo;2022-12-22 10:39:01;2022-12-22 10:41:35
SOSAA;administrativo;2022-12-22 10:41:24;2022-12-22 10:51:38
ndelaoliva;administrativo;2022-12-22 10:41:37;2022-12-22 10:50:07
CSUAREZ;administrativo;2022-12-22 10:44:23;2022-12-22 10:44:59
ALEDESMA;administrativo;2022-12-22 10:44:40;2022-12-22 10:48:44
LRIOS;administrativo;2022-12-22 10:47:55;2022-12-22 10:50:19
MERASO;administrativo;2022-12-22 10:49:21;2022-12-22 10:51:07
NSILVERO;baño;2022-12-22 10:51:18;2022-12-22 10:53:43
ndelaoliva;administrativo;2022-12-22 10:53:08;2022-12-22 10:56:04
CFERREYRA;administrativo;2022-12-22 10:57:32;2022-12-22 10:59:18
NCORONEL;administrativo;2022-12-22 10:57:38;2022-12-22 10:57:57
cterceros;baño;2022-12-22 10:59:39;2022-12-22 11:02:42
CFERREYRA;administrativo;2022-12-22 11:00:08;2022-12-22 11:00:27
LRIOS;administrativo;2022-12-22 11:00:22;2022-12-22 11:30:56
ndelaoliva;administrativo;2022-12-22 11:00:54;2022-12-22 11:01:49
CFERREYRA;administrativo;2022-12-22 11:01:25;2022-12-22 11:01:43
CSUAREZ;administrativo;2022-12-22 11:01:47;2022-12-22 11:03:29
NCORONEL;administrativo;2022-12-22 11:02:05;2022-12-22 11:09:38
MERASO;administrativo;2022-12-22 11:02:06;2022-12-22 11:02:57
npardi;descanso;2022-12-22 11:02:39;2022-12-22 11:16:45
CFERREYRA;administrativo;2022-12-22 11:03:45;2022-12-22 11:04:23
ndelaoliva;administrativo;2022-12-22 11:04:17;2022-12-22 11:13:12
BGUERRERO;descanso;2022-12-22 11:06:04;2022-12-22 11:16:35
CFERREYRA;administrativo;2022-12-22 11:06:08;2022-12-22 11:06:54
CFERREYRA;administrativo;2022-12-22 11:08:29;2022-12-22 11:08:51
MERASO;administrativo;2022-12-22 11:09:02;2022-12-22 11:09:44
CFERREYRA;administrativo;2022-12-22 11:10:54;2022-12-22 11:12:00
EBARRERA;administrativo;2022-12-22 11:11:08;2022-12-22 11:22:47
CCACERES;administrativo;2022-12-22 11:13:26;2022-12-22 11:15:06
SOSAA;administrativo;2022-12-22 11:13:43;2022-12-22 11:17:22
CFERREYRA;administrativo;2022-12-22 11:15:06;2022-12-22 11:17:35
lconstantino;administrativo;2022-12-22 11:16:17;2022-12-22 11:22:53
CCACERES;administrativo;2022-12-22 11:16:19;2022-12-22 11:18:25
MERASO;administrativo;2022-12-22 11:17:52;2022-12-22 11:22:35
CFERREYRA;administrativo;2022-12-22 11:18:10;2022-12-22 11:18:34
NCORONEL;administrativo;2022-12-22 11:18:50;2022-12-22 11:25:18
CFERREYRA;administrativo;2022-12-22 11:20:32;2022-12-22 11:20:52
CFERREYRA;administrativo;2022-12-22 11:22:39;2022-12-22 11:22:58
EBARRERA;descanso;2022-12-22 11:22:49;2022-12-22 11:22:51
VFIGUEREDO;descanso;2022-12-22 11:22:52;2022-12-22 11:38:22
EBARRERA;baño;2022-12-22 11:22:53;2022-12-22 11:25:14
MERASO;administrativo;2022-12-22 11:23:01;2022-12-22 11:33:24
ndelaoliva;administrativo;2022-12-22 11:26:26;2022-12-22 11:27:03
ndelaoliva;administrativo;2022-12-22 11:29:27;2022-12-22 11:33:49
CFERREYRA;administrativo;2022-12-22 11:29:47;2022-12-22 11:33:04
CSUAREZ;administrativo;2022-12-22 11:31:25;2022-12-22 11:33:45
NCORONEL;administrativo;2022-12-22 11:31:32;2022-12-22 11:38:18
SOSAA;administrativo;2022-12-22 11:31:35;2022-12-22 11:36:16
clara;administrativo;2022-12-22 11:32:25;2022-12-22 11:33:56
VZAPATA;baño;2022-12-22 11:32:33;2022-12-22 11:34:27
AREYES;administrativo;2022-12-22 11:33:06;2022-12-22 11:34:29
CFERREYRA;administrativo;2022-12-22 11:34:19;2022-12-22 11:34:30
VZAPATA;administrativo;2022-12-22 11:36:25;2022-12-22 11:36:42
clara;administrativo;2022-12-22 11:40:00;2022-12-22 11:43:01
CFERREYRA;administrativo;2022-12-22 11:40:39;2022-12-22 11:41:45
NLUNA;descanso;2022-12-22 11:41:01;2022-12-22 11:56:49
LRIOS;administrativo;2022-12-22 11:41:01;
cfleitas;descanso;2022-12-22 11:41:07;2022-12-22 11:56:36
NCORONEL;descanso;2022-12-22 11:41:35;2022-12-22 11:54:27
CCACERES;descanso;2022-12-22 11:42:23;2022-12-22 11:58:22
CFERREYRA;administrativo;2022-12-22 11:43:34;2022-12-22 11:44:06
CSUAREZ;administrativo;2022-12-22 11:44:11;2022-12-22 11:46:16
MERASO;administrativo;2022-12-22 11:44:30;2022-12-22 11:47:48
btorres;baño;2022-12-22 11:45:25;2022-12-22 11:47:25
CFERREYRA;administrativo;2022-12-22 11:45:33;2022-12-22 11:46:18
mkatherina;descanso;2022-12-22 11:47:00;2022-12-22 12:00:49
ndelaoliva;administrativo;2022-12-22 11:47:09;2022-12-22 11:51:40
VAZQUEZE;administrativo;2022-12-22 11:47:48;2022-12-22 11:50:10
RSOFIA;descanso;2022-12-22 11:48:14;2022-12-22 12:01:07
ALEDESMA;administrativo;2022-12-22 11:48:24;2022-12-22 11:48:48
CFERREYRA;administrativo;2022-12-22 11:48:35;2022-12-22 11:48:47
clara;administrativo;2022-12-22 11:49:53;2022-12-22 11:51:10
CFERREYRA;administrativo;2022-12-22 11:50:06;2022-12-22 11:50:20
EBARRERA;administrativo;2022-12-22 11:51:15;2022-12-22 12:03:46
CFERREYRA;administrativo;2022-12-22 11:51:35;2022-12-22 11:52:08
CFERREYRA;administrativo;2022-12-22 11:53:52;2022-12-22 11:54:14
NCORONEL;administrativo;2022-12-22 11:54:30;2022-12-22 11:56:53
CSUAREZ;administrativo;2022-12-22 11:54:52;2022-12-22 12:01:31
CFERREYRA;administrativo;2022-12-22 11:56:38;2022-12-22 11:56:51
BGUERRERO;baño;2022-12-22 11:58:18;2022-12-22 12:04:10
SOSAA;administrativo;2022-12-22 11:58:44;2022-12-22 12:07:51
CFERREYRA;administrativo;2022-12-22 11:58:56;2022-12-22 11:59:09
ndelaoliva;administrativo;2022-12-22 11:59:45;2022-12-22 12:01:13
NCORONEL;administrativo;2022-12-22 12:00:08;2022-12-22 12:01:38
JIAMBERTI;descanso;2022-12-22 12:00:26;2022-12-22 12:17:27
cterceros;descanso;2022-12-22 12:00:45;2022-12-22 12:17:51
clara;descanso;2022-12-22 12:01:20;2022-12-22 12:19:17
